Iteration,Training_Error
580,0.10652921
581,0.17486162
582,0.11446698
583,0.24011504
584,0.22741566
585,0.08967298
586,0.09850789
587,0.09625893
588,0.05831419
589,0.41294517
590,0.20409719
591,0.12445721
592,0.12607709
593,0.10016259
594,0.12205162
595,0.76297678
596,0.80894253
597,0.17787893
598,1.05689929
599,1.06619060
600,1.07813768
601,0.05699418
602,0.07435297
603,0.06574527
604,0.10452931
605,0.16584757
606,0.11210038
607,0.23300972
608,0.21675145
609,0.08701611
610,0.09251763
611,0.09042348
612,0.05635907
613,0.39027563
614,0.18840977
615,0.11765001
616,0.12226269
617,0.09696392
618,0.11902276
619,0.72380186
620,0.77036482
621,0.16289072
622,1.05342836
623,1.06396955
624,1.07377353
625,0.05299996
626,0.06998486
627,0.06144879
628,0.10318384
629,0.15793155
630,0.11048773
631,0.22656569
632,0.20706317
633,0.08465954
634,0.08734534
635,0.08535157
636,0.05458522
637,0.36993162
638,0.17495513
639,0.11171379
640,0.11863159
641,0.09392032
642,0.11610869
643,0.68369416
644,0.73031888
645,0.14995537
646,1.05011323
647,1.06175358
648,1.06958886
649,0.04958626
650,0.06615858
651,0.05766445
652,0.10231994
653,0.15092740
654,0.10943470
655,0.22062895
656,0.19825799
657,0.08253986
658,0.08282620
659,0.08090774
660,0.05294223
661,0.35154059
662,0.16335505
663,0.10647627
664,0.11513872
665,0.09098271
666,0.11328843
667,0.64340902
668,0.68973855
669,0.13881894
670,1.04689723
671,1.05943743
672,1.06549971
673,0.04662449
674,0.06275946
675,0.05430552
676,0.10174889
677,0.14465499
678,0.10873178
679,0.21504177
680,0.19022680
681,0.08059337
682,0.07882179
683,0.07697618
684,0.05139418
685,0.33474797
686,0.15328523
687,0.10180041
688,0.11174692
689,0.08810994
690,0.11054628
691,0.60372034
692,0.64957088
693,0.12922870
694,1.04374322
695,1.05695436
696,1.06144403
697,0.04402228
698,0.05970442
699,0.05130468
700,0.10128780
701,0.13895134
702,0.10817727
703,0.20966589
704,0.18285938
705,0.07876271
706,0.07522457
707,0.07346459
708,0.04991720
709,0.31925159
710,0.14447525
711,0.09757896
712,0.10843013
713,0.08527380
714,0.10787209
715,0.56531772
716,0.61063826
717,0.12094141
718,1.04063536
719,1.05428209
720,1.05738668
721,0.04171418
722,0.05693525
723,0.04861009
724,0.10078262
725,0.13368113
726,0.10760130
727,0.20439786
728,0.17605500
729,0.07700176
730,0.07195487
731,0.07030221
732,0.04849703
733,0.30481640
734,0.13670440
735,0.09372920
736,0.10517444
737,0.08246065
738,0.10526071
739,0.52873672
740,0.57355325
741,0.11373442
742,1.03757467
743,1.05143638
744,1.05331660
745,0.03965384
746,0.05441223
747,0.04618159
748,0.10012334
749,0.12874181
750,0.10688121
751,0.19917319
752,0.16972800
753,0.07527762
754,0.06895513
755,0.06743543
756,0.04712650
757,0.29127308
758,0.12979501
759,0.09018809
760,0.10197672
761,0.07966983
762,0.10271065
763,0.49433367
764,0.53869796
765,0.10741390
766,1.03457113
767,1.04845699
768,1.04923913
769,0.03780772
770,0.05210843
771,0.04398734
772,0.09924748
773,0.12406230
774,0.10594473
775,0.19396140
776,0.16380892
777,0.07356980
778,0.06618379
779,0.06482338
780,0.04580314
781,0.27850688
782,0.12360505
783,0.08690788
784,0.09884139
785,0.07690988
786,0.10022249
787,0.46229737
788,0.50625153
789,0.10181817
790,1.03163605
791,1.04539244
792,1.04516718
793,0.03615050
794,0.05000484
795,0.04200126
796,0.09813383
797,0.11959724
798,0.10476330
799,0.18875681
800,0.15824309
801,0.07186783
802,0.06361031
803,0.06243425
804,0.04452707
805,0.26644288
806,0.11802097
807,0.08385233
808,0.09577686
809,0.07419440
810,0.09779751
811,0.43268104
812,0.47623991
813,0.09681653
814,1.02877683
815,1.04228835
816,1.04111401
817,0.03466199
818,0.04808707
819,0.04020123
820,0.09679135
821,0.11531983
822,0.10334063
